f(x): 16.51533122296216	x1: -3.5606068945022953	x2: 4.548519105617043	
f(x): 16.44924082682156	x1: -3.5525209718716932	x2: 4.540354143685396	
f(x): 16.38341505275415	x1: -3.5444513296620497	x2: 4.532205468498358	
f(x): 16.317852841205564	x1: -3.5363979352409247	x2: 4.5240730474229816	
f(x): 16.25255313686395	x1: -3.5283607560412737	x2: 4.515956847891718	
f(x): 16.187514888642937	x1: -3.5203397595613186	x2: 4.507856837402282	
f(x): 16.12273704966476	x1: -3.512334913364416	x2: 4.499772983517526	
f(x): 16.058218577243373	x1: -3.5043461850789273	x2: 4.491705253865304	
f(x): 15.993958432867675	x1: -3.496373542398086	x2: 4.483653616138345	
f(x): 15.929955582184803	x1: -3.4884169530798723	x2: 4.475618038094122	
f(x): 15.866208994983477	x1: -3.4804763849468787	x2: 4.467598487554723	
f(x): 15.80271764517741	x1: -3.4725518058861833	x2: 4.459594932406721	
f(x): 15.739480510788804	x1: -3.4646431838492195	x2: 4.451607340601043	
f(x): 15.676496573931889	x1: -3.4567504868516474	x2: 4.443635680152844	
f(x): 15.61376482079655	x1: -3.4488736829732254	x2: 4.435679919141376	
f(x): 15.551284241631986	x1: -3.4410127403576802	x2: 4.427740025709861	
f(x): 15.48905383073048	x1: -3.433167627212581	x2: 4.419815968065363	
f(x): 15.427072586411201	x1: -3.4253383118092096	x2: 4.411907714478658	
f(x): 15.365339511004077	x1: -3.4175247624824334	x2: 4.404015233284108	
f(x): 15.303853610833741	x1: -3.409726947630578	x2: 4.396138492879533	
f(x): 15.242613896203533	x1: -3.4019448357153004	x2: 4.388277461726086	
f(x): 15.181619381379573	x1: -3.394178395261461	x2: 4.3804321083481215	
f(x): 15.120869084574885	x1: -3.386427594856998	x2: 4.372602401333073	
f(x): 15.060362027933605	x1: -3.3786924031528014	x2: 4.364788309331324	
f(x): 15.000097237515234	x1: -3.3709727888625847	x2: 4.356989801056084	
f(x): 14.940073743278965	x1: -3.3632687207627607	x2: 4.349206845283261	
f(x): 14.880290579068056	x1: -3.3555801676923163	x2: 4.3414394108513354	
f(x): 14.820746782594295	x1: -3.3479070985526853	x2: 4.333687466661238	
f(x): 14.761441395422501	x1: -3.340249482307625	x2: 4.32595098167622	
f(x): 14.702373462955105	x1: -3.33260728798309	x2: 4.318229924921732	
f(x): 14.643542034416765	x1: -3.324980484667109	x2: 4.310524265485297	
f(x): 14.584946162839081	x1: -3.3173690415096586	x2: 4.302833972516386	
f(x): 14.526584905045343	x1: -3.3097729277225407	x2: 4.295159015226298	
f(x): 14.468457321635361	x1: -3.3021921125792573	x2: 4.287499362888029	
f(x): 14.41056247697031	x1: -3.2946265654148883	x2: 4.279854984836155	
f(x): 14.352899439157717	x1: -3.2870762556259665	x2: 4.272225850466704	
f(x): 14.29546728003642	x1: -3.279541152670356	x2: 4.264611929237035	
f(x): 14.238265075161653	x1: -3.272021226067128	x2: 4.257013190665716	
f(x): 14.181291903790157	x1: -3.26451644539644	x2: 4.249429604332398	
f(x): 14.124546848865352	x1: -3.25702678029941	x2: 4.241861139877695	
f(x): 14.068028997002589	x1: -3.249552200477998	x2: 4.234307767003064	
f(x): 14.011737438474432	x1: -3.2420926756948822	x2: 4.226769455470677	
f(x): 13.955671267196031	x1: -3.234648175773337	x2: 4.219246175103305	
f(x): 13.899829580710527	x1: -3.2272186705971126	x2: 4.211737895784195	
f(x): 13.844211480174522	x1: -3.2198041301103135	x2: 4.2042445874569445	
f(x): 13.788816070343621	x1: -3.2124045243172774	x2: 4.196766220125389	
f(x): 13.733642459558016	x1: -3.2050198232824543	x2: 4.189302763853474	
f(x): 13.678689759728133	x1: -3.197649997130286	x2: 4.181854188765137	
f(x): 13.623957086320335	x1: -3.190295016045087	x2: 4.1744204650441885	
f(x): 13.569443558342687	x1: -3.1829548502709226	x2: 4.167001562934189	
f(x): 13.515148298330772	x1: -3.1756294701114913	x2: 4.159597452738334	
f(x): 13.461070432333575	x1: -3.168318845930003	x2: 4.152208104819328	
f(x): 13.407209089899403	x1: -3.1610229481490624	x2: 4.144833489599273	
f(x): 13.353563404061886	x1: -3.153741747250547	x2: 4.137473577559542	
f(x): 13.300132511326005	x1: -3.1464752137754903	x2: 4.130128339240666	
f(x): 13.246915551654212	x1: -3.139223318323963	x2: 4.12279774524221	
f(x): 13.193911668452568	x1: -3.1319860315549546	x2: 4.115481766222661	
f(x): 13.141120008556978	x1: -3.124763324186255	x2: 4.108180372899304	
f(x): 13.088539722219425	x1: -3.1175551669943364	x2: 4.100893536048109	
f(x): 13.036169963094324	x1: -3.110361530814237	x2: 4.093621226503609	
f(x): 12.984009888224882	x1: -3.1031823865394426	x2: 4.086363415158787	
f(x): 12.93205865802953	x1: -3.0960177051217683	x2: 4.079120072964954	
f(x): 12.880315436288406	x1: -3.088867457571245	x2: 4.071891170931637	
f(x): 12.828779390129906	x1: -3.081731614955999	x2: 4.0646766801264596	
f(x): 12.77744969001727	x1: -3.074610148402138	x2: 4.057476571675027	
f(x): 12.726325509735235	x1: -3.0675030290936345	x2: 4.050290816760806	
f(x): 12.675406026376713	x1: -3.0604102282722088	x2: 4.0431193866250155	
f(x): 12.62469042032958	x1: -3.0533317172372145	x2: 4.035962252566504	
f(x): 12.574177875263459	x1: -3.046267467345522	x2: 4.02881938594164	
f(x): 12.52386757811658	x1: -3.0392174500114044	x2: 4.021690758164192	
f(x): 12.473758719082706	x1: -3.032181636706421	x2: 4.014576340705218	
f(x): 12.423850491598092	x1: -3.025159998959303	x2: 4.007476105092945	
f(x): 12.37414209232849	x1: -3.0181525083558407	x2: 4.00039002291266	
f(x): 12.324632721156242	x1: -3.0111591365387667	x2: 3.9933180658065917	
f(x): 12.27532158116737	x1: -3.004179855207642	x2: 3.9862602054737994	
f(x): 12.226207878638778	x1: -2.9972146361187444	x2: 3.9792164136700574	
f(x): 12.177290823025459	x1: -2.990263451084952	x2: 3.972186662207741	
f(x): 12.128569626947774	x1: -2.983326271975632	x2: 3.9651709229557137	
f(x): 12.080043506178775	x1: -2.976403070716526	x2: 3.958169167839215	
f(x): 12.031711679631588	x1: -2.9694938192896374	x2: 3.951181368839745	
f(x): 11.983573369346832	x1: -2.9625984897331197	x2: 3.9442074979949546	
f(x): 11.935627800480102	x1: -2.9557170541411617	x2: 3.93724752739853	
f(x): 11.887874201289492	x1: -2.948849484663878	x2: 3.9303014292000826	
f(x): 11.840311803123178	x1: -2.9419957535071948	x2: 3.9233691756050364	
f(x): 11.792939840407048	x1: -2.935155832932739	x2: 3.916450738874515	
f(x): 11.745757550632362	x1: -2.9283296952577267	x2: 3.909546091325232	
f(x): 11.698764174343498	x1: -2.92151731285485	x2: 3.9026552053293777	
f(x): 11.65195895512571	x1: -2.9147186581521694	x2: 3.8957780533145088	
f(x): 11.605341139592973	x1: -2.907933703632999	x2: 3.888914607763438	
f(x): 11.558909977375833	x1: -2.901162421835798	x2: 3.8820648412141217	
f(x): 11.51266472110935	x1: -2.89440478535406	x2: 3.875228726259551	
f(x): 11.466604626421042	x1: -2.8876607668362024	x2: 3.8684062355476407	
f(x): 11.420728951918932	x1: -2.880930338985456	x2: 3.8615973417811196	
f(x): 11.375036959179596	x1: -2.874213474559755	x2: 3.85480201771742	
f(x): 11.329527912736278	x1: -2.8675101463716293	x2: 3.8480202361685683	
f(x): 11.28420108006706	x1: -2.860820327288092	x2: 3.8412519700010765	
f(x): 11.239055731583058	x1: -2.8541439902305332	x2: 3.834497192135832	
f(x): 11.194091140616692	x1: -2.8474811081746085	x2: 3.827755875547988	
f(x): 11.149306583409977	x1: -2.8408316541501324	x2: 3.8210279932668576	
f(x): 11.104701339102883	x1: -2.8341956012409684	x2: 3.8143135183758017	
f(x): 11.060274689721727	x1: -2.8275729225849204	x2: 3.8076124240121225	
